Age,Gender,Grade Level,Cognitive Abilities,Engagement Levels,Pre-Test Scores,Post-Test Scores,Time Spent on AR,Frequency of AR Use,Score Improvement,Performance
17,Male,10th,94.86078789766634,0.8863435490951704,57.50106295291479,76.74387230777943,36.79874561961705,5,19.242809354864633,High
15,Female,12th,95.02090285816652,0.8328765977604875,68.86517645423626,76.07127866817183,66.16957599151621,2,7.206102213935566,Medium
17,Male,12th,81.65507286366339,0.7515143278259865,51.24611738571112,70.14493176313354,31.2226249134514,1,18.89881437742242,High
17,Male,12th,66.95148955243504,0.7942074016866731,48.57136258845582,60.95310698464889,39.42075418425462,4,12.38174439619307,Medium
15,Female,9th,50.980345111984136,0.3833922154548904,66.0579738456838,74.93163967016818,13.620426509893134,2,8.873665824484377,Medium
15,Female,12th,54.72935506745915,0.34591800792284366,46.70787515558358,58.5949114991575,13.445493985350703,1,11.887036343573918,Medium
17,Female,9th,94.85551299762886,0.7055501255780817,68.89667618321835,88.5971648125005,34.544583944904815,3,19.700488629282148,High
16,Male,10th,58.09236938563006,0.2929834288541353,40.36463424069449,52.75390565058754,8.191004732432557,5,12.389271409893048,Medium
17,Female,9th,88.99377729288119,0.6728180922243245,69.09636480122917,79.02763895554179,56.63720254649795,1,9.931274154312618,Medium
17,Male,10th,82.10158230771438,0.9161301730608155,41.294797358517286,55.79581017326817,37.31783319441534,3,14.501012814750887,Medium
17,Male,12th,54.206998249752445,0.7165752908849632,66.73429341094213,75.33647769261502,54.874293285356735,1,8.60218428167289,Medium
17,Female,12th,58.08143570473069,0.7182153093489416,55.831033272588996,61.96898319421896,29.26176291645214,5,6.137949921629961,Medium
15,Female,10th,94.92770942635397,0.7817767032437118,69.78894388357901,76.72213971223874,48.86840611128905,5,6.933195828659734,Medium
17,Male,11th,80.3214529829795,0.5887772692825477,42.213896942061965,49.134584526428554,51.95536595309515,2,6.92068758436659,Medium
16,Male,10th,50.45985258083148,0.8445381690087568,56.61562853203962,63.894168934724036,23.109412209345614,4,7.278540402684413,Medium
15,Female,11th,55.073577143301605,0.8766406855372875,69.07907606857297,76.16148365831413,40.196256691635234,1,7.082407589741152,Medium
16,Female,9th,83.1750884554028,0.787729626546041,55.692935325104465,70.30605649715268,28.064880616338456,1,14.613121172048217,Medium
16,Female,9th,50.253079192310935,0.915135098647949,58.88195914405787,66.61016041004504,23.802498228366066,3,7.728201265987167,Medium
16,Male,9th,58.04040257087493,0.6173168233864103,60.87246066953851,71.05746991939645,79.39761394339672,5,10.185009249857941,Medium
16,Male,12th,77.4366894683293,0.9343715797751846,53.636231943033195,72.08805809162337,39.34123069848338,1,18.451826148590172,High
15,Male,9th,84.59475988463467,0.6769258596770347,58.8267424025219,70.93616700646498,68.5924667512781,5,12.109424603943083,Medium
15,Male,11th,82.59806297513003,0.6220080266736869,57.529429357693004,72.54279543550841,35.27843928582583,1,15.013366077815405,High
16,Male,9th,90.02678281388712,0.40246420984285847,67.03474031472967,74.61953838275411,10.12808249058029,2,7.5847980680244405,Medium
16,Male,10th,96.15262384437412,0.408995614812679,41.363391410243736,49.247726692373796,14.489328397009222,4,7.88433528213006,Medium
15,Female,10th,61.862454374840006,0.7480557859100452,48.42889568776691,54.04192493176409,55.738324436470656,1,5.6130292439971825,Medium
15,Male,12th,66.26998490796339,0.6567408343438919,68.51234452229676,76.04637046837922,48.2945713130095,5,7.5340259460824655,Medium
15,Male,10th,87.32457025590121,0.620505752552014,66.70791351672749,75.88676860220687,44.71045484883611,2,9.178855085479384,Medium
17,Male,11th,82.48164495236074,0.7394881495253586,53.669702583571386,61.324859847722585,40.93209599257972,1,7.6551572641512,Medium
17,Female,9th,92.4611705247089,0.550503842844235,58.6039779340461,64.93451594040194,75.77174865486955,3,6.330538006355837,Medium
17,Male,12th,82.88064461501716,0.6199807158406561,48.32143548943398,55.130973555942994,69.83716446726375,4,6.809538066509013,Medium
16,Male,9th,78.41543016677358,0.9043067651859084,45.64363479171284,57.55531631220373,77.90161463999075,1,11.911681520490887,Medium
17,Female,9th,87.41139844072462,0.47533042690776495,53.91095214819946,62.00595792428635,18.980421582650262,2,8.095005776086886,Medium
16,Male,11th,68.38579015297168,0.7371587853460292,50.60056684078158,61.06461475650271,63.85204851221866,3,10.464047915721132,Medium
16,Male,10th,63.26011838408627,0.7034335228745454,57.509683355526164,70.06094241834901,76.30042740926227,2,12.55125906282285,Medium
17,Male,10th,62.19948216895418,0.7558508902306844,42.332039108949544,57.68796153839003,30.87398396993961,2,15.355922429440483,High
16,Male,9th,98.65052773762227,0.9847996928450322,69.231844229985,74.82152632760149,23.98977604200665,3,5.589682097616489,Medium
17,Male,12th,69.65488623333802,0.7904975508770525,69.58632233438809,86.57747831802372,64.46723895740354,2,16.991155983635636,High
17,Female,10th,94.60232775885567,0.8409738174959817,60.94485142059236,75.36335726295597,54.46838679079471,3,14.418505842363615,Medium
15,Female,12th,81.55693129986315,0.7297542474168449,56.08289099032361,62.30927646955669,70.50972660549633,1,6.22638547923308,Medium
17,Female,10th,89.74056517708243,0.756089660711716,49.28582848858983,67.38950785019148,28.386342597577368,3,18.10367936160165,High
15,Male,12th,75.1318546552596,0.8147162696787044,64.41385059120846,83.22693659918565,67.71603871159341,3,18.81308600797719,High
17,Male,11th,78.84519423131795,0.7626094827824029,60.54193517661638,66.45810457443933,32.09763920286467,4,5.916169397822955,Medium
17,Male,12th,54.78128754398105,0.3429618219132586,44.87850818034674,54.031672902554796,5.370076347154926,3,9.153164722208054,Medium
15,Female,11th,59.76214938990223,0.8780540761677464,67.32781553481527,84.4208347317112,29.855947875859577,3,17.093019196895924,High
15,Male,11th,86.12260576307526,0.688486632222867,64.67611728769506,80.90001264344994,68.87448321388293,1,16.223895355754877,High
17,Male,12th,64.03861812204279,0.9611317641616252,68.49399739875773,76.2618126891034,59.91183324177201,4,7.767815290345666,Medium
16,Female,11th,51.21579832157269,0.8186848512765971,61.7715852516508,69.91182510170145,51.38392548614716,5,8.140239850050655,Medium
15,Male,9th,82.27361479535838,0.7570972415639746,58.402455878073695,68.95953741994443,41.529829047410146,1,10.55708154187073,Medium
16,Female,11th,58.85553397035245,0.7939327140103434,52.547291088718566,64.81513586658389,72.6320324487865,1,12.26784477786532,Medium
16,Female,10th,97.02292921764572,0.7391502111436486,67.9818545006204,82.25567607357485,43.546706445358126,5,14.273821572954446,Medium
16,Female,12th,97.26950536178593,0.26497515880571754,65.98191668501225,76.51562127855884,6.537645919860189,3,10.533704593546588,Medium
